[ECIS_Parameters]
Filename , C:\Users\cgao801\Downloads\ECIS_250917_MFT_1_CG_dmso_minitest.abp
Version , 1.4.18.0 PC - 64 bit
FileType , RBA
ExportVersion , 1.4.26.0 PC - 64 bit
Instrument , Z-Theta
SerialNum , 1290
WellNum , 96
Date , 2025-09-17, 18:00:51
DateNum , 739877
TimeNum , 64851
ExptType , MFT
ArrayHolderA , 96W20idf
MiniArrayFormat , 0
TimeInterval , 180
Wells , 49, 50, 51, 52, 57, 58, 59, 60, 65, 66, 67, 68, 73, 74, 75, 76, 81, 82, 83, 84, 89, 90, 91, 92
Frequency , 250, 500, 1000, 2000, 4000, 8000, 16000, 32000, 64000, 

[Headings]
Time (hrs), Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, 
Well ID, A07, A07, A07, A07, A07,B07, B07, B07, B07, B07,C07, C07, C07, C07, C07,D07, D07, D07, D07, D07,A08, A08, A08, A08, A08,B08, B08, B08, B08, B08,C08, C08, C08, C08, C08,D08, D08, D08, D08, D08,A09, A09, A09, A09, A09,B09, B09, B09, B09, B09,C09, C09, C09, C09, C09,D09, D09, D09, D09, D09,A10, A10, A10, A10, A10,B10, B10, B10, B10, B10,C10, C10, C10, C10, C10,D10, D10, D10, D10, D10,A11, A11, A11, A11, A11,B11, B11, B11, B11, B11,C11, C11, C11, C11, C11,D11, D11, D11, D11, D11,A12, A12, A12, A12, A12,B12, B12, B12, B12, B12,C12, C12, C12, C12, C12,D12, D12, D12, D12, D12,

[Data]
0.00,0.00,2.63,154.43,-9.98,0.01,0.00,0.00,376.37,-9.46,0.02,0.00,2.49,245.54,-9.77,0.01,0.00,0.00,863.57,-10.11,0.01,0.00,2.86,266.85,-15.70,0.01,0.00,0.00,925.77,-11.89,0.01,0.00,2.20,264.50,-10.02,0.01,0.00,0.00,502.80,-11.09,0.02,0.00,0.00,1000.00,-14.98,0.01,0.00,0.00,1000.00,-10.09,0.01,0.00,0.00,1000.00,-8.91,0.01,0.00,0.63,91.95,12.22,0.00,0.00,0.00,602.29,-13.83,0.01,0.05,0.00,0.00,16.63,0.01,0.00,2.29,222.86,-7.48,0.01,0.04,0.02,183.53,16.09,0.01,0.00,0.00,366.98,-12.56,0.02,0.00,0.84,153.10,12.68,0.01,0.00,0.00,1000.00,-4.59,0.00,0.07,0.03,280.03,15.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,159.03,7.58,0.00,0.00,0.00,336.61,-10.98,0.02,0.00,1.10,180.48,16.59,0.00
0.11,0.00,2.41,97.13,-8.98,0.01,0.00,1.86,126.05,-8.29,0.01,0.00,2.18,124.65,-8.97,0.01,0.00,0.00,291.73,-9.46,0.02,0.00,2.06,104.71,-15.19,0.01,0.00,1.30,152.83,-11.45,0.01,0.00,1.93,114.07,-9.31,0.01,0.00,1.95,152.36,-10.57,0.01,0.00,1.47,168.13,-14.62,0.01,0.00,1.28,132.48,-9.68,0.01,0.19,0.02,201.16,-8.50,0.01,0.00,1.20,97.72,12.51,0.00,0.00,1.74,107.68,-13.08,0.01,0.00,1.17,80.11,16.84,0.01,0.00,2.20,102.60,-6.98,0.01,0.00,1.11,108.08,16.21,0.00,0.00,1.99,76.63,-12.04,0.01,0.00,1.44,99.73,12.98,0.01,0.18,0.20,217.02,-4.23,0.00,0.00,1.35,95.57,15.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,89.99,7.62,0.00,0.00,2.04,109.65,-10.84,0.01,0.00,1.56,100.13,16.46,0.00
0.20,0.00,2.64,55.74,-8.42,0.01,0.00,2.28,62.31,-7.52,0.01,0.00,2.44,61.04,-8.36,0.01,0.00,2.01,86.89,-8.95,0.01,0.00,2.36,44.37,-14.78,0.02,0.00,1.87,66.29,-10.96,0.01,0.00,2.28,55.68,-8.63,0.01,0.00,2.20,61.79,-10.02,0.01,0.00,2.03,65.18,-14.25,0.01,0.00,1.93,65.47,-9.21,0.01,0.00,1.89,70.74,-8.08,0.01,0.00,1.72,61.86,12.86,0.01,0.00,2.31,52.30,-12.49,0.01,0.00,1.77,58.97,17.10,0.01,0.00,2.53,59.06,-6.49,0.01,0.00,1.65,67.69,16.42,0.01,0.00,2.53,42.78,-11.58,0.01,0.00,1.95,69.48,13.19,0.01,0.00,1.83,85.05,-3.91,0.00,0.00,1.89,59.75,15.93,0.01,0.00,0.00,0.00,0.00,0.00,0.00,2.06,64.49,7.72,0.01,0.00,2.43,66.50,-10.64,0.01,0.00,1.96,69.39,16.45,0.01
0.30,0.00,3.00,39.96,-8.02,0.02,0.00,2.74,42.46,-6.94,0.01,0.00,2.85,40.01,-7.90,0.01,0.00,2.42,53.09,-8.55,0.01,0.00,2.85,28.74,-14.43,0.02,0.00,2.40,42.66,-10.54,0.01,0.00,2.73,37.36,-8.07,0.01,0.00,2.63,38.28,-9.54,0.01,0.00,2.55,41.42,-13.93,0.01,0.00,2.46,43.47,-8.83,0.01,0.00,2.41,45.04,-7.74,0.01,0.00,2.18,45.29,13.12,0.01,0.00,2.83,34.72,-11.98,0.01,0.00,2.25,44.69,17.33,0.01,0.00,2.87,42.10,-6.08,0.01,0.00,2.08,50.14,16.59,0.01,0.00,2.99,30.72,-11.20,0.02,0.00,2.37,54.28,13.35,0.01,0.00,2.29,57.81,-3.65,0.01,0.00,2.33,44.17,16.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,2.41,52.21,7.83,0.01,0.00,2.75,49.16,-10.43,0.01,0.00,2.27,54.59,16.48,0.01
0.39,0.00,3.32,31.86,-7.73,0.02,0.00,3.13,33.00,-6.53,0.02,0.00,3.19,30.59,-7.54,0.02,0.00,2.79,38.44,-8.24,0.01,0.00,3.29,21.61,-14.16,0.02,0.00,2.84,31.31,-10.22,0.01,0.00,3.12,28.35,-7.64,0.02,0.00,3.01,28.10,-9.17,0.02,0.00,2.95,31.49,-13.67,0.01,0.00,2.89,33.32,-8.53,0.01,0.00,2.83,33.43,-7.45,0.01,0.00,2.55,36.01,13.33,0.01,0.00,3.25,26.18,-11.57,0.02,0.00,2.63,36.38,17.49,0.01,0.00,3.17,33.38,-5.76,0.01,0.00,2.44,39.91,16.72,0.01,0.00,3.34,24.40,-10.85,0.02,0.00,2.70,45.79,13.47,0.01,0.00,2.68,44.13,-3.44,0.01,0.00,2.68,35.15,16.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,2.69,44.81,7.92,0.01,0.00,3.02,39.99,-10.24,0.01,0.00,2.52,45.78,16.52,0.01
0.48,0.00,3.56,27.13,-7.50,0.02,0.00,3.44,27.17,-6.20,0.02,0.00,3.46,25.04,-7.24,0.02,0.00,3.06,30.41,-8.00,0.02,0.00,3.64,17.39,-13.91,0.02,0.00,3.19,24.99,-9.96,0.02,0.00,3.42,23.02,-7.30,0.02,0.00,3.31,22.21,-8.87,0.02,0.00,3.24,25.83,-13.45,0.02,0.00,3.22,27.10,-8.30,0.01,0.00,3.16,26.86,-7.25,0.01,0.00,2.83,29.93,13.50,0.02,0.00,3.56,21.30,-11.22,0.02,0.00,2.95,30.97,17.59,0.01,0.00,3.41,27.78,-5.53,0.02,0.00,2.72,33.56,16.82,0.01,0.00,3.60,20.49,-10.56,0.02,0.00,2.93,39.99,13.57,0.01,0.00,3.00,35.61,-3.27,0.01,0.00,2.94,29.25,16.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,2.89,39.97,8.02,0.01,0.00,3.23,34.12,-10.06,0.01,0.00,2.70,39.46,16.57,0.02
0.57,0.00,3.73,23.79,-7.31,0.02,0.00,3.67,23.05,-5.90,0.02,0.00,3.63,21.56,-6.99,0.02,0.00,3.27,24.89,-7.78,0.02,0.00,3.87,14.73,-13.69,0.03,0.00,3.42,21.02,-9.74,0.02,0.00,3.66,19.25,-6.97,0.02,0.00,3.56,18.17,-8.63,0.02,0.00,3.46,22.09,-13.26,0.02,0.00,3.46,23.11,-8.10,0.02,0.00,3.39,22.59,-7.06,0.02,0.00,3.05,25.45,13.64,0.02,0.00,3.77,18.19,-10.90,0.02,0.00,3.17,27.03,17.69,0.02,0.00,3.58,23.92,-5.33,0.02,0.00,2.93,28.41,16.88,0.02,0.00,3.79,18.03,-10.28,0.02,0.00,3.11,35.23,13.64,0.01,0.00,3.23,29.79,-3.12,0.01,0.00,3.13,24.82,16.32,0.02,0.00,0.00,0.00,0.00,0.00,0.00,3.06,36.24,8.09,0.01,0.00,3.39,29.77,-9.89,0.02,0.00,2.84,33.99,16.61,0.02
0.66,0.00,3.86,21.31,-7.15,0.02,0.00,3.83,20.18,-5.65,0.02,0.00,3.75,19.16,-6.76,0.03,0.00,3.42,21.27,-7.58,0.02,0.00,4.02,12.84,-13.50,0.03,0.00,3.61,18.56,-9.53,0.02,0.00,3.83,16.74,-6.72,0.03,0.00,3.77,15.17,-8.42,0.03,0.00,3.60,19.65,-13.11,0.02,0.00,3.61,20.72,-7.92,0.02,0.00,3.55,19.83,-6.89,0.02,0.00,3.21,21.96,13.76,0.02,0.00,3.93,16.06,-10.63,0.02,0.00,3.35,24.22,17.78,0.02,0.00,3.70,21.37,-5.12,0.02,0.00,3.12,24.39,16.94,0.02,0.00,3.90,16.39,-10.03,0.02,0.00,3.26,31.86,13.72,0.01,0.00,3.39,25.61,-2.97,0.01,0.00,3.31,21.60,16.38,0.03,0.00,0.00,0.00,0.00,0.00,0.00,3.18,33.17,8.17,0.02,0.00,3.53,26.54,-9.73,0.02,0.00,2.98,27.85,16.64,0.02
0.75,0.00,3.97,19.39,-6.99,0.02,0.00,3.96,18.19,-5.37,0.02,0.00,3.82,17.62,-6.52,0.03,0.00,3.52,18.69,-7.39,0.02,0.00,4.14,11.51,-13.29,0.03,0.00,3.73,16.77,-9.32,0.02,0.00,3.97,14.91,-6.49,0.03,0.00,3.92,13.10,-8.21,0.03,0.00,3.70,17.94,-12.94,0.02,0.00,3.71,18.95,-7.75,0.02,0.00,3.67,18.01,-6.72,0.02,0.00,3.35,19.23,13.90,0.03,0.00,4.04,14.60,-10.38,0.02,0.00,3.46,22.33,17.88,0.02,0.00,3.79,19.82,-4.92,0.02,0.00,3.25,21.15,17.00,0.02,0.00,3.98,15.09,-9.78,0.03,0.00,3.37,29.57,13.82,0.02,0.00,3.53,22.98,-2.82,0.02,0.00,3.44,19.07,16.46,0.03,0.00,0.00,0.00,0.00,0.00,0.00,3.27,30.84,8.26,0.02,0.00,3.63,23.76,-9.57,0.02,0.00,3.17,22.87,16.73,0.02
0.85,0.00,4.03,17.87,-6.83,0.03,0.00,4.05,16.56,-5.12,0.03,0.00,3.88,16.54,-6.30,0.03,0.00,3.61,16.73,-7.21,0.03,0.00,4.20,10.51,-13.11,0.03,0.00,3.80,15.58,-9.12,0.02,0.00,4.06,13.65,-6.28,0.03,0.00,4.03,11.64,-8.01,0.03,0.00,3.77,16.73,-12.79,0.02,0.00,3.77,17.75,-7.57,0.02,0.00,3.75,16.69,-6.54,0.02,0.00,3.43,17.10,14.03,0.03,0.00,4.11,13.62,-10.12,0.02,0.00,3.55,20.76,18.00,0.02,0.00,3.86,18.77,-4.72,0.03,0.00,3.35,18.88,17.08,0.03,0.00,4.03,14.15,-9.54,0.03,0.00,3.44,27.75,13.92,0.02,0.00,3.62,20.99,-2.67,0.02,0.00,3.53,17.00,16.55,0.03,0.00,0.00,0.00,0.00,0.00,0.00,3.33,29.07,8.36,0.02,0.00,3.72,21.59,-9.39,0.02,0.00,3.33,19.58,16.84,0.03
