Time,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3,H4
0,4919642,5082622,5525276,5413735,6139226,5481681,5636738,4968793,4653402,4926628,4992590,5578206,5674407,5118972,4918532,758786,4268250,4067506,4414088,844100,4194958,4323384,3955773,685608,4125350,4202002,4514286,745001,4313458,3573913,3329210,9275835
300.72,10638682,9256758,10317059,9814659,10890342,9995864,10642840,11446708,10464209,10321154,9392464,10602243,10725718,9926598,10459268,729890,9652609,9613622,9587761,754439,9326857,9214690,8326584,591000,8340544,9878286,8984064,369850,9946079,7854270,8247727,20054294
600.14,14013816,15148021,15789547,16292301,14734183,14874246,15079290,13717272,15269556,14778245,15731332,15445177,13357229,14402091,14711536,757517,15278701,14085958,14239692,635596,13733902,14532474,12919077,639444,12906426,13749971,12689563,570114,11235058,11098760,12902780,29929236
900.07,17943554,18680008,17005988,17595988,18414622,18918854,19625782,19193910,19782744,18773878,19414612,19691578,18694036,19335054,18650890,827898,18594022,18667138,18293446,756251,18537158,17054824,18552776,486045,16235101,16268285,16044162,826692,16769920,15088003,15825949,33789124
1200.02,22619846,22669962,23633816,22086322,23316360,23197784,23795896,21555786,23154102,22221174,23701788,23480014,22286074,22199728,22194322,795495,22667198,22472138,23438048,686663,20775780,21338292,22269434,832062,19935318,19958548,20353080,726220,19455176,16725657,19527528,44043488
1499.96,25589872,27306522,27414618,26050078,25472138,25616866,27805676,25820906,28405208,27194738,27183280,28655472,25472584,25687074,25907186,749389,24410294,27876400,26736230,650763,23427780,23953458,25980334,823636,22629946,22381768,23516500,755530,23532778,19582964,20704270,51473432
1799.92,28548898,27971778,31131036,28191462,29094056,29782598,31245018,27758518,28374166,30337386,29718924,29533904,29402124,29223386,28129488,845153,27985988,29063238,30838622,678507,28014362,29321176,28303538,529933,24486846,25945112,26042002,698283,25121492,24070024,24636178,54087724
2100.12,31044432,32483472,33169582,30436576,33140204,33761520,34846304,28794106,33202000,34045320,33436278,33720992,31117884,31041632,31727994,772480,30741314,33563132,32248048,840204,31488060,28958122,32597684,552278,27479218,29069374,27979876,733892,26253746,27261338,27299342,61221316
2400.04,34333068,37521592,36735504,35859980,35232792,35641932,39173136,33364516,33973556,35531708,35291368,36225088,34885416,35246716,35470584,725005,32675518,35393032,37179156,589789,33057790,32480676,34061540,418665,30581372,30741314,31350074,700620,31516278,28722758,29062584,62115656
2700.21,36107308,36658500,37823788,37189312,37063636,38478176,42529560,34360804,36173424,39676700,39103464,39481880,36302908,39127788,37515900,551548,35996880,39980812,40257524,450747,37086008,36517400,35449688,686663,31443732,33424348,32918644,725844,31405488,30077230,30835832,68584288
2999.91,37192196,41740956,44206512,41823548,40651724,43167740,43062604,35763520,37497392,41881364,43894872,38629948,40167708,39474680,39616460,520354,37531716,42546984,40128964,583897,37194428,37690728,39512580,659980,33582400,35817960,35741976,456018,36948464,33401574,34622352,69088760
3300.06,41643304,44428076,45057552,43306180,44922164,44760484,46324368,35803524,40265068,46142856,43685400,43967656,42095984,44325604,42279740,715679,41900504,42920048,42814872,608159,40641480,40253176,40451868,623296,35921452,38073844,38080508,617274,38574604,34597204,36554212,72426312
3600,46111612,49715064,47825980,45200568,45929196,44016804,51111596,39650144,43968532,46528960,47107672,48681436,48047260,42614424,45930372,729470,38893060,45870008,46023540,608159,42012424,46443080,43584472,793014,39068716,41997168,41121476,795495,39923964,37550344,38837060,77000256
3900.17,45838168,51091292,50876768,46985256,48490188,49077764,50953116,39896460,45132852,49411572,50132568,48608976,48087128,46040628,46434412,706098,41868384,47821724,48770756,552467,47126368,45181680,46584988,665880,41236928,42774852,39567576,463358,42257880,40600588,39496224,79447600
4200.07,47013944,52389300,54702980,50232768,52421772,52198004,51359960,41199728,44864708,50580676,51773652,50722604,50602364,48973488,47922552,989919,41962584,51013220,52048504,516617,49016024,49180908,48343216,1008862,41933692,45089628,42807348,704036,44245180,41617760,42440652,79466696
4500.01,49193592,54102332,55603884,51595096,55539764,55141356,55272092,43983248,48011636,53842260,53897252,53470436,50269008,50873260,51042772,735843,46056128,52174980,53204820,671994,50639580,51164076,48964968,782444,46412140,48067624,44553636,682350,45300500,43977344,42969404,81026096
4799.94,50186388,56990316,57844920,54355628,56818460,52927348,56940216,43256584,47077892,54874368,53947376,56885488,54974848,53939260,53558188,751231,44449244,55761120,52560316,732678,51116040,52531804,53921996,763550,46705436,47559612,47793288,469112,48015128,42791104,45428640,82507952
5099.91,51199964,58126700,58782540,55688048,57049264,61342992,58718480,45890124,47137044,58253640,58241840,58428784,57196004,54882444,55084336,886029,45760460,57133444,58596752,764443,54846148,54914216,54649972,878061,48380704,48665576,50678860,443459,49822492,47383472,50068744,84823536
5399.85,54738348,61118636,60497512,59714492,58760556,61025048,64010584,46130968,52153128,61369916,59498956,60524472,58386524,56401880,56735460,599180,47987836,58476308,59750916,660372,55976596,55885544,57289160,1012533,52368976,53197464,50964956,640509,51875228,49630628,50347368,86399496
5700.06,53908496,63204168,64526516,60871800,62670496,60007612,63832104,46746100,51495640,61505872,62926296,61742896,59817432,59253212,61209536,675107,49512036,60797968,58949452,706098,54756152,59828544,57246712,870093,52303844,54671796,52594176,587096,55870824,50101196,51119372,89658688
6000.22,56511092,65139764,63340124,60801188,64139868,63348092,68632704,48060064,50008116,63638096,62327936,65155144,62451152,60069184,60904524,920505,49134368,63064108,64398448,771943,60098096,59085228,58872920,1028709,53999660,55855252,54019052,453744,56057504,52480448,52803160,88324808
6300.16,57071480,65372748,67770784,64937780,65589752,65785268,67664392,47296608,54614296,65781176,65361668,65704220,62613728,62984400,64689348,830669,49302252,63533848,65812732,591000,59819608,60858960,62708556,751231,53099184,55047292,56195484,621230,59960428,52780344,51720812,94212024
6600.11,54962076,66884044,68666200,67350984,68751504,68679240,70835544,50072888,54703836,67044988,70771272,66844388,67344776,64399924,66090220,795495,51350072,64688912,63826148,608132,62744720,61402332,62575140,907480,55722536,57105740,57560372,439056,58176036,53403656,55665344,90540832
6900.06,57937196,68891184,71919448,68109440,68030144,68932040,72696976,50509636,55747584,68004752,67121528,70698792,64011592,68150488,67161088,946257,53662736,67805608,68518280,725477,65128576,64996772,67410568,530952,58638508,60046168,58805200,718078,60032516,57413004,57622588,90827744
7199.98,62334524,70959888,72128952,72105712,69276664,72487024,73888112,50615980,54942648,70981112,69595144,71923640,69046728,68001840,66475296,910932,54050680,67791840,71446336,649117,66121484,66339504,69693312,978554,58191248,58540468,60033016,615116,62401024,57740768,62512088,92998456
7500.19,61093372,75152672,73160552,68987888,72126192,72351040,75196400,51563724,54120516,73344584,71110240,73281440,72476416,68350096,67797624,596101,54460772,71419144,68140984,741939,68421872,67700816,66745384,749986,61494200,65492824,61823268,548671,63769404,60508472,59530016,90387264
7800.12,61567488,75587120,73540304,70726784,72033776,73654256,75682496,49302252,56722336,74301976,75998464,73782864,71691984,69504232,73047104,926656,54314788,70666888,73111648,609173,68204584,68837112,66720072,754990,65115664,63225960,64366120,381714,66856092,60932208,61961644,96096280
8100.03,63380412,77657792,77098472,72299656,72951712,71981912,76898240,52752052,58549124,74754352,74876592,75634728,72602424,69956440,71760648,1079927,55000096,71631608,72662712,791711,73769744,69833064,66560020,839898,64787416,64670772,61169496,751231,67653144,61113764,61305056,95787880
8399.95,61585200,77390952,77973232,72842792,75489536,76454032,77809976,54874652,58532904,79448856,80147472,76542848,74200208,73096112,77403328,864963,56132728,74025440,76462176,470920,71945512,70181520,70912776,559635,65525196,66711812,62370348,629278,68122912,64231504,64426084,97221760
8699.88,62919772,79831560,83721984,75781824,78173800,77288368,81100208,53101204,58291428,79215448,79089496,79261040,75642664,73153000,77448200,701703,58253232,73618384,78433272,762292,70353704,75301880,71803240,654504,68539096,67603272,63972080,570114,68973856,63974468,66701780,98662848
9000.05,62152512,80290312,82520120,77799864,77635904,79370448,81527528,55129192,58726176,78714840,81233664,78295248,77785712,75927448,76606072,637325,56861204,77980832,78709728,878743,74411552,71394856,75550816,692523,68884800,68827240,66302288,557777,72833032,67840408,65724532,99064832
9299.98,64890308,81803664,84527256,77565464,82906376,80173008,83083776,54602852,59800788,80740504,80945336,82237096,78942280,75630488,78540232,908908,58930980,80737968,80112904,981732,76601840,74122464,74122464,946464,67548968,70293616,66380076,525535,70831120,65589956,66269916,96053664
